movie_title,available_globally,viewing_hours,release_month,runtime,runtime_category,genre,language,country,imdb_rating,type,total_seasons,gn_drama,gn_action,gn_fantasy,gn_mystery,gn_talk-show,gn_unknown,gn_news,gn_war,gn_film-noir,gn_horror,gn_crime,gn_thriller,gn_romance,gn_musical,gn_reality-tv,gn_biography,gn_comedy,gn_short,gn_sci-fi,gn_western,gn_history,gn_adventure,gn_documentary,gn_music,gn_family,gn_adult,gn_game-show,gn_animation,gn_sport,lg_english,lg_other,lg_spanish,lg_japanese,lg_french,ct_united_states,ct_other,ct_united_kingdom,ct_japan,ct_france,type_encoded
Narcos,1,59900000,8,49,Medium,"Biography, Crime, Drama","English, Spanish","United States, Colombia",8.8,series,3.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
The Walking Dead,0,59800000,10,44,Medium,"Drama, Horror, Thriller",English,United States,8.1,series,11.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
MADOFF: The Monster of Wall Street: Limited Series,1,59600000,7,93,Feature Long,Unknown,Other,Other,6.616412422038939,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Witcher,1,59300000,12,60,Medium,"Action, Adventure, Drama",English,"Poland, Hungary, United States, United Kingdom",8.0,series,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1
Sky Rojo,1,58500000,3,30,Short,"Action, Adventure, Crime",Spanish,Spain,6.6,series,3.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Young Lady and Gentleman ,0,58500000,9,31,Medium,"Comedy, Drama, Family",Korean,South Korea,6.4,series,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
Miraculous: Tales of Ladybug & Cat Noir,0,58300000,12,1,Short,"Animation, Action, Adventure","Urdu, Hindi, French, Korean, English","France, South Korea, Japan, United States",7.5,series,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,1
Never Have I Ever,1,58300000,4,30,Short,"Comedy, Drama",English,United States,7.9,series,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
The Gray Man,1,58300000,7,122,Long,"Action, Thriller",English,"United States, Czech Republic, United Kingdom, Canada, Thailand, Denmark, France, Cambodia, Vietnam",6.5,movie,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0
S.W.A.T. (2017),0,57900000,7,93,Feature Long,Unknown,Other,Other,6.681415000172534,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
ONE PIECE: East Blue ,0,57800000,7,93,Feature Long,Unknown,Other,Other,6.681023689595546,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Brooklyn Nine-Nine,0,57500000,9,22,Short,"Comedy, Crime",English,United States,8.4,series,8.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
New Amsterdam (2018),0,57500000,7,93,Feature Long,Unknown,Other,Other,6.679849757864578,movie,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Workin' Moms,0,57500000,1,30,Short,"Comedy, Drama",English,Canada,7.8,series,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Barbie Life in the Dreamhouse,1,57400000,5,3,Short,"Animation, Short, Comedy",English,"United States, Canada",7.5,series,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
The Walking Dead,0,57400000,10,44,Medium,"Drama, Horror, Thriller",English,United States,8.1,series,11.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
The Blacklist,0,57000000,9,43,Medium,"Crime, Drama, Mystery",English,United States,7.9,series,10.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
The Sandman,1,56700000,8,1,Short,"Drama, Fantasy, Horror",English,"United Kingdom, United States",7.7,series,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
